Woher kommen Ananas?;Nürnberg;Frankreich;Bosnien;Schweiz
Was ist eine Feuerwalze?;Eine militärische Strategie;Eine Walze die am brennen ist;STEHT NICHT IM BUCH!;Weiß ich nicht 
Was ist das beste Fach der Welt?;Informatik;Mathe;BWRC;Englisch
TWO ZERO TWO FOUR;0044;0024;2024;0244;
Wenn du eine zufällige Antwort auf diese Frage wählst wie ist die Chance dass sie richtig ist?;25%;0%;50%;25%
Welcher Buchstabe kommt in keinem US-Staat vor?;Q;J;W;Y
Wiviele Eier legen Oktopusse?;56000;11000;800;83000
Wofür sind die kleine Tasche in Jeans gedacht?;Taschenuhr;Schlüssel;Monokel;Patronen
Was ist die größte Wüste der Welt?;Antarktis;Sahara;Gobi;Patagonische Steppe
Welches Hasutier hatte Theodore Roosevelt;Hyäne;Krokodil;Emu;Waschbär
Was ist die größte Todesursache;der Tod;Mücken;Nilpferde;Altersschwäche
Was welches Land benutzt das metrische System um Längen oder Masse zu messen;Island;Liberia;Myanmar;USA
Was ist das jüngste Land der Erde;Südsudan;Jemen;Kosovo;Palau
Was ist die meist gesprochene Sprache?;Mandarin;Englisch;Spanisch;albanisch
